date,portfolio_value,benchmark_value,position,signal,prediction,actual,cash,position_size,pnl,cumulative_return,benchmark_return,price,consecutive_losses
2022-08-19,100000.0,100000.0,0,0,0.010631080823439363,-0.009351776461009154,100000.0,0.0,0.0,0.0,0.0,8498.92,
2022-08-22,100000.0,99020.35,0,0,0.004755340997495673,-0.00029944175501395165,100000.0,0.0,0.0,0.0,-0.009796538854348618,8415.66,0.0
2022-08-23,100000.0,100015.65,1,1,0.005919020372999091,-0.012726684509279163,0.0,99900.0,0.0,0.0,0.0001564904717305035,8500.25,0.0
2022-08-24,98215.78,100111.43,0,0,0.00462012753137233,-0.01587491875666247,98215.78,0.0,-1585.9,-0.01784218479406787,0.0011142592235248595,8508.39,1.0
2022-08-25,98215.78,99018.93,0,0,0.0044297392487515005,-0.004164913956799077,98215.78,0.0,0.0,-0.01784218479406787,-0.009810658295406756,8415.54,1.0
2022-08-26,98215.78,99064.82,1,1,0.006511794570490597,0.0008896078599052171,0.0,98117.57,0.0,-0.01784218479406787,-0.00935177646100914,8419.44,1.0
2022-08-29,97669.98,98990.7,1,1,0.007535864458932307,-0.005562726877241908,0.0,97571.76,-545.8,-0.023300196994730796,-0.01009304711657489,8413.14,1.0
2022-08-30,97493.94,98742.78,0,0,0.004221801848520036,0.0002025721901748323,97493.94,0.0,19.77,-0.02506061684800865,-0.01257218564241106,8392.07,0.0
2022-08-31,97493.94,98522.17,0,0,0.004336583999734285,-0.011289428804822754,97493.94,0.0,0.0,-0.02506061684800865,-0.014778348307785055,8373.32,0.0
2022-09-01,97493.94,98606.53,1,1,0.00746439662142248,-0.014871445464405886,0.0,97396.44,0.0,-0.02506061684800865,-0.013934711704546061,8380.49,0.0
2022-09-02,94915.86,99152.95,1,1,0.007949742003492341,-0.02646990066370547,0.0,94818.37,-2578.07,-0.05084135892455102,-0.008470488014947769,8426.93,0.0
2022-09-05,92103.16,98440.04,1,1,0.00605564758956103,-0.02966410640734185,0.0,92005.67,-2812.7,-0.07896838114525861,-0.015599629129348177,8366.34,0.0
2022-09-06,89435.43,98762.78,1,1,0.006663117872696488,-0.028995314381976223,0.0,89337.93,-2667.73,-0.1056457138157745,-0.012372160227417044,8393.77,0.0
2022-09-07,87275.14,97409.91,0,0,0.004388541028340233,-0.022111926984499153,87275.14,0.0,-1975.43,-0.1272486170927665,-0.025900938001534233,8278.79,1.0
2022-09-08,87275.14,97140.11,0,0,0.0031951356180009187,-0.01904828812504089,87275.14,0.0,0.0,-0.1272486170927665,-0.028598927863775606,8255.86,1.0
2022-09-09,87275.14,96528.38,0,0,0.0029468736781091557,0.004764824406042312,87275.14,0.0,0.0,-0.1272486170927665,-0.0347161757023244,8203.87,1.0
