feature,importance
volume_ratio_50,0.053646225030041676
skewness_60d,0.040078588647415654
momentum_120d,0.03845743809612251
kurtosis_60d,0.03126319958347612
price_to_sma200,0.030594247231368152
macd_line,0.027237301770768732
autocorr_lag10,0.025531450102063924
momentum_20d,0.02461877776820316
momentum_252d,0.02321731122181181
hl_volatility,0.022795476936651765
volume_ratio_20,0.022440527752849604
autocorr_lag5,0.022399671277716485
quarter,0.021731970168083994
obv_momentum,0.02162799829336006
hl_ratio,0.02161487780317667
skewness_20d,0.021120530373244784
momentum_10d,0.019930996316354317
risk_adj_momentum,0.01983558218536801
volatility_60d,0.019688790523855342
momentum_60d,0.019371698667412215
sharpe_ratio_60d,0.019234157220754534
bb_upper,0.019075812967808758
volatility_20d,0.01902043819178499
price_to_sma50,0.018871078092319252
month,0.018805418511835956
autocorr_lag1,0.018626201372311618
price_volume_corr,0.018584512618696054
bb_lower,0.018424388171802843
volatility_5d,0.018399961524995144
vol_ratio,0.018138334112877602
rsi_21,0.018114520894221064
price_to_ema50,0.01809558516469869
volatility_10d,0.018032858499147326
days_to_month_end,0.01803030488301604
volume_trend,0.017837780380561878
macd_histogram,0.017234139895793244
momentum_acceleration,0.01714171311900242
kurtosis_20d,0.01673775504948498
price_to_sma20,0.014624509983875454
momentum_5d,0.014620959694734263
risk_return_efficiency,0.014416050715370162
momentum_volume_strength,0.014275904540011035
price_to_ema12,0.014179020830520103
price_to_sma10,0.013092649396446724
rsi_14,0.012124578279194807
bb_position,0.011912254007330519
price_to_ema26,0.010762333034210802
rsi_7,0.009480752904019096
technical_confluence,0.009378956888809794
day_of_week,0.005326140199347871
is_month_end,0.00019829648655573555
